スポット名（英）,スポット名（日本語）,カテゴリ,エリア（区/地域）,URL,画像URL,概要説明（英）,概要説明（日本語）,出典サイト,tag_family_friendly,根拠メモ,評価（A/B/C）,コメント
VASARA Kimono Rental Asakusa,VASARA 着物レンタル 浅草本店,着物体験,台東区（浅草）,https://vasara-h.co.jp/en/shop/asakusa/,https://vasara-h.co.jp/images/top_img_asakusa.jpg,"Offers a wide range of kimono plans, English-speaking staff, hair styling, and easy access from Sensoji Temple.",浅草寺徒歩すぐ。英語対応・豊富なプラン・ヘアセット付きで人気。観光と組み合わせやすい。,VASARA公式,TRUE,子連れプランあり。サイトで英語案内確認済。インバウンド比率高。,A,店舗数が多くアクセス良好。混雑時は事前予約推奨。
Kimono Rental Yumenoya,着物レンタル夢乃屋 浅草店,着物体験,台東区（浅草）,https://yumenoya.me/en/,https://yumenoya.me/wp-content/uploads/2022/07/top_img.jpg,"Located near Sensoji Temple, offering kimono experiences with English-speaking staff, ninja/samurai cosplay available too.",着物体験のほか忍者や侍コスプレも選べる人気店。英語対応あり、写真プラン充実。,夢乃屋公式,TRUE,体験型＋フォトサービスあり。浅草駅近くで外国人に特化。,A,忍者体験と併用可能。子ども用サイズ・家族向けプランあり。
Kimono Rental Wargo Harajuku,着物レンタル 和楽庵 原宿店,着物体験,渋谷区（原宿）,https://harajuku-kimonorental.com/en/,https://harajuku-kimonorental.com/wp-content/uploads/2023/02/top.jpg,Stylish kimono rental near Takeshita Street. Offers family packages and photo options. English website available.,竹下通り近くで若者・外国人に人気。英語サイトあり。家族写真プランも。,和楽庵 原宿店公式サイト,TRUE,幼児用着物あり。明治神宮散策とセットで人気。,A,トレンド志向の若い層に人気。スタッフの対応も丁寧で評価高い。
Simply Oishii Wagashi School,シンプリー・オイシイ 和菓子教室,和菓子作り体験,世田谷区（東京）,https://www.simplyoishii.com/,—,Hands‑on private studio class in Tokyo. Learn mochi and nerikiri from a certified instructor. Reservations only.,プライベートスタジオで、認定講師による餅や練り切りなどの和菓子作り体験。少人数制、予約制クラス。,"Simply Oishii公式サイト (iwafu.com, simplyoishii.com)",TRUE,プライベート・少人数・オンライン併用もあり。英語案内有り（英語TOP頁）。,A,少人数＋認定講師でしっかり学べる。家族層にも◎。
Wagashi Making Class by Kaoru (byFood),菓子工房 Kaoru の和菓子教室 (五反田),和菓子作り体験,品川区（五反田周辺）,—,—,"Choose from 5 class types to make daifuku, dango, nerikiri under certified instructor; family-friendly.",果物大福や三色団子、練り切りなど複数メニューから選べる講座。認定講師で家族参加可。,byFood,TRUE,"certified instructor, family class offered. 英語対応確認（byFood listing）。",A,"多彩なメニュー、家族向け。価格目安約¥7,000〜。"
Wagashi-making in Kagurazaka by Inoue-san,和菓子工房 梅花亭（Baika-tei）,和菓子作り体験,新宿区（神楽坂）,https://www.baikatei.co.jp,—,"Learn from Excellent Wagashi Artisan Takeshi Inoue, craft seasonal sweets, English-friendly, up to ~10 small group.",二瓶亭で「優秀和菓子職人」井上氏から少人数・英語ガイド付きで季節の和菓子を学べる体験。10名程度の少人数制。,Baika-tei (Ninja Kotan),TRUE,認定職人直伝・少人数・10歳以上からOK。英語ガイド確認済。,A,本格志向、神楽坂エリア観光とセットでおすすめ。
Shinohara Furin Honpo Glass+Painting,篠原風鈴本舗（ガラス吹き＋絵付け）,風鈴絵付け体験,台東区（浅草）,—,—,Glass‑blowing + painting workshop at historic Edo furin studio. English available. Ages 6+. Keepsake original chime.,江戸風鈴の伝統工房で、ガラス吹き＋絵付けができる体験。英語対応、6歳以上参加可。完成品は持ち帰り可能。,"LIVE JAPAN (livejapan.com, danayao.com)",TRUE,"English available; multiple sources confirm glass+painting (¥2,400); children ok.",A,伝統・体験・持ち帰り3点揃い。予約は電話優先。
Edo Furin Painting Workshop (NoHGA Ueno),EDO FURIN 絵付けワークショップ（上野NOHGA）,風鈴絵付け体験,台東区（上野）,—,—,"Painting your own Shinohara Maruyoshi chime at NOHGA Hotel. 30–60min; ¥1,800/person. Hotel staff guide, small groups (2–6).","NOHGAホテル上野で、30〜60分の風鈴絵付け体験。¥1,800／人。2〜6名の小グループでホテルスタッフ案内付き。",NOHGA HOTEL,TRUE,小グループ・ホテルホスト案内あり。価格明確・参加しやすい。,B,ホテル滞在者におすすめ。グループ可能だが浅草より簡易。
Peninsula Tokyo Furin Making,ペニンシュラ東京 風鈴制作体験,風鈴絵付け体験,千代田区（丸の内／日比谷）,—,—,2‑hour luxury experience: glass‑blowing & painting at Shinohara Furin with hotel car transport and chauffeur guidance. Age 6+. Includes roundtrip.,ペニンシュラ東京が篠原風鈴本舗で手配する2時間体験。ホテル送迎＋ドライバー解説付き。英語対応、6歳以上。高級体験。,Peninsula Academy,TRUE,ホテル送迎・ラグジュアリーパッケージ・英語通訳付き。参加者年齢制限あり（6歳〜）。,A,ラグジュアリー志向向け、記念ギフトにも◎。
Samurai & Ninja Experience Asakusa,浅草侍・忍者体験スタジオ,忍者・侍体験,台東区（浅草）,https://ninjastudio.jp/en/,https://ninjastudio.jp/images/studio.jpg,"Dress up as a samurai or ninja and learn basic weapons, movement and posing in a full costume set.",侍・忍者の衣装を着て、剣術や忍びの動き、記念撮影ができる体験。英語案内付きで初心者◎。,公式サイト,TRUE,英語対応・衣装込み・子どもOKと記載,A,フォトプラン充実。家族旅行にも◎。
Samurai Kembu Tokyo,サムライ剣舞東京,忍者・侍体験,渋谷区（千駄ヶ谷）,https://samuailkembu.tokyo/en/classifieds/,https://samuailkembu.tokyo/images/class.jpg,"Interactive demonstration of samurai sword dance and lessons in posture, breathing, and sake tradition.",剣舞のデモンストレーションと剣術風レッスン（所作・呼吸など）。外国人参加多、英語で指導あり。,公式サイト,TRUE,外国人向けプログラム・英語説明,A,格調高い内容。大人向けだが小学生以上可。
Edo Samurai & Ninja Adventure,江戸侍忍者アドベンチャー,忍者・侍体験,台東区（浅草／上野）,https://edoninjaexperience.jp/en/,https://edoninjaexperience.jp/img/experience.jpg,City-walking samurai/ninja tour combined with weapon handling demonstration in Edo-style.,江戸時代スタイルで浅草・上野を歩くツアー。武器体験・英語ガイド付き、家族連れにも人気。,公式サイト,TRUE,ガイド＋体験付き・家族OK,B,動きやすい格好推奨。都市散策も加わり臨場感◎。
Omotesenke Chado Culture Class,表千家 茶道文化体験クラス,茶道体験,港区（南青山）,https://www.omotesenke.jp/experience/index.html,https://www.omotesenke.jp/wp-content/themes/omote/img/top.jpg,"Learn etiquette, whisking, and serving matcha in an elegant tea-ceremony format with explanation.",抹茶点てや作法を丁寧に学べる正統派茶道体験。英語指導＆茶菓子付きで初心者・家族向けも。,公式サイト,TRUE,英語対応・スモールグループ,A,静謐な空間。所要約60分、初心者歓迎。
Tea Ceremony Experience Ueno,上野茶道体験,茶道体験,台東区（上野）,https://www.japanesecultureexperience.com/tea-ceremony,—,Casual matcha tea ceremony introduction with English explanations in central Ueno.,上野エリアでカジュアルに抹茶体験。外国人観光客に人気、所要45分程度。,JapanCulture,TRUE,英語対応・手軽さ重視,B,入門には最適。立地良く参加しやすい。
Japanese Tea Ceremony Ga-Kyo,茶道体験 茶匡（Ga-Kyo）東京店,茶道体験,渋谷区（代々木上原）,https://ga-kyo.com/en/,https://ga-kyo.com/wp-content/uploads/2023/05/classroom.jpg,"Personalized tea ceremony lessons using premium Uji matcha, small groups, English guidance included.",少人数プレミアム体験。宇治抹茶使用、英語ガイドあり。本格的作法を丁寧に。,公式サイト,TRUE,英語表記・少人数制・高品質素材使用,A,落ち着いた大人向け。予約必須。
Shodo Workshop Tokyo,書道ワークショップ東京,書道体験,渋谷区（原宿・表参道）,https://www.shodoworkshoptokyo.com/,https://www.shodoworkshoptokyo.com/images/class.jpg,"Write your name in kanji, learn brush techniques, and keep calligraphy as art. Beginner-level with English instructions.",漢字や名前を筆で書く体験。筆遣いを学び、作品を持ち帰り。英語での指導あり・初心者OK。,公式サイト,TRUE,英語ガイド・作品持ち帰り可,A,短時間で完成。土産にも◎。
Calligraphy Lesson by Kyoto Sensei,京都流書道レッスン（外国人向け）,書道体験,港区（六本木）,—,—,"Traditional Japanese calligraphy class led by Kyoto-style sensei, English explained.",京都流の先生による本格書道レッスン。英語で説明あり、文字の意味も教える体験。,Event listing,TRUE,英語対応・本格的,B,しっかり学びたい人向け。
Shodo Experience Asakusa,浅草書道体験,書道体験,台東区（浅草）,https://www.asakushodoclub.com/en/,https://www.asakushodoclub.com/img/top.jpg,"Short session for tourists: brush, ink, and learn stroke order basics. Affairs friendly.",観光客向けの短時間体験。筆・墨でストロークを学び、作品を持ち帰り可。英語説明あり。,公式サイト,TRUE,45分〜60分、旅行者向け,B,旅程に組み込みやすい。
Tokyo Yakatabune Dinner Cruise,東京屋形船ディナークルーズ,屋形船,江東区／港区湾岸,https://www.getyourguide.com/tokyo-l193/tokyo-yakatabune-dinner-cruise-with-japanese-show-drinks-t488035/,—,"Enjoy sukiyaki and soft drinks, shamisen performance, and night views of Rainbow Bridge & Tokyo Tower.",すき焼き・ソフトドリンク・三味線演奏・屋形船クルーズの夜景体験。英語ガイド・案内あり。,GetYourGuide (getyourguide.com),TRUE,英語ホスト・ファミリー利用可・レビュー多数で評価4.7,A,幅広い支持、30名程度の小グループで◎。予約は早めに。
Yakatabune AMITATSU,風雅屋形船 文芸あみたつ,屋形船,江東区（浅草～お台場）,https://www.amitatsu.jp/english/,—,"Historic houseboat cruise around Sky Tree and Rainbow Bridge with dinner, open to small groups.",浅草・スカイツリー・お台場を巡る老舗船。伝統和食と夜景、2名から予約可。,AMITATSU公式,TRUE,創業100年、送迎不要・2名〜利用可,A,プライベート感あり。季節限定プランもあり。
Yakatabune Funayado-Tsurishin,船宿釣新（つりしん）,屋形船,台東区（蔵前）,https://www.yakatabune-tsurishin.com/en/index.html,—,Traditional houseboat with seasonal Japanese cuisine and scenic river views across seasons.,季節料理を楽しむ屋形船。桜や花火など四季感が豊かな水上体験。,釣新公式,TRUE,浅草近く、少人数向けプラン確認済,B,ランチプラン含む。家族のんびり参加に◎。
Tokyo Taiko Drum Experience (Klook),東京太鼓体験（Klook）,太鼓体験,新宿区,https://www.klook.com/en-US/activity/8758-taiko-japanese-drum-experience-tokyo/,—,50‑minute Taiko class under pro teacher—learn rhythms in intimate group setting. 身体も動かす参加型体験。,プロ講師と50分クラスで太鼓叩き体験。音が心地よく汗をかくようなエクササイズ要素も。,Klook (klook.com),TRUE,小グループ・駅近・口コミ高評価,A,エネルギッシュ、手軽に体験可。
Taiko Drum Experience in Kabukicho,歌舞伎町太鼓体験（夕食つき）,太鼓体験,新宿区,https://www.getyourguide.com/tokyo-l193/tokyo-taiko-drum-experience-in-kabukicho-with-dinner-t774658/,—,"Professional drum artists teach rhythms, followed by Wagyu dinner—multilingual guide included.",プロ講師によるレッスン＋和牛焼肉ディナー、英中対応ガイド付き。旅行者に人気。,GetYourGuide,TRUE,食事付き、異文化体験複合。,A,食事も楽しめるパッケージ。大人向け。
Taiko Center Workshop (Asakusa/Aoyama),太鼓センター ワークショップ,太鼓体験,台東区／渋谷区,https://www.taiko-center.co.jp/english/class/tokyo-class.html,—,Hands‑on drums in Asakusa/Aoyama studio—refreshing cultural break from sightseeing.,浅草・青山で太鼓体験。観光の合間にリフレッシュ、英語案内あり。,太鼓センター,TRUE,複数スタジオ・初心者OK・英語文言有,B,エネルギー重視、子どもから大人まで楽しめる。
Taro’s Origami Studio Asakusa,太郎の折り紙スタジオ 浅草,折り紙体験,台東区,https://www.tarosorigami.com/asakusa-tokyo/,—,"Tablet‑guided family & beginner friendly origami experience near Sensoji, with studio view of Skytree.",タブレット付き折り紙体験。浅草・隅田川沿い、スカイツリー展望。家族や初心者向けに優しいガイド。,Taro’s (tarosorigami.com),TRUE,英語・スペイン語対応、レビュー好評,A,事前予約推奨、子供にも丁寧。
Origami Class by Tokyo Origami Museum,東京折り紙博物館の折り紙クラス,折り紙体験,墨田区,—,—,"Hosted at Origami Museum by certified instructor Teru; 1‑hour class, take home models.",折り紙会館／博物館主催、認定講師による1時間クラス。作品と教本のお土産付き。,Airbnb体験,TRUE,高評価4.97/5・子どもと家族向けレビュー良好,A,高品質＆安心感。博物館併設で文化理解も深まる。
GetYourGuide Origami with Local,Origami with Tokyo Local,折り紙体験,中央区,https://www.getyourguide.com/tokyo-l193/origami-workshop-by-a-tokyo-local-for-all-travelers-t498004/,—,Fold 3–5 origami designs with step‑by‑step guidance and history behind shapes with local instructor.,東京在住の先生と歴史背景を学びながら折り紙。初級～中級で作品数3〜5点。英語進行。,GYG,TRUE,グループOK・文化解説あり,B,歴史を聞きつつ折るタイプ。カップルにも◎。
Tokyo Food Sample Making Workshop (Yamato),大和サンプル製作所 ワークショップ,フードサンプル体験,豊島区（上池袋・北池袋）,https://www.yamato-sample.com/,—,"Hands-on food sample workshop at Yamato Sample Factory: make ramen, parfait, or tart samples. Includes instructor, materials, kits to take home. (yamato-sample.com, theabroadguide.com)",大和サンプル製作所での食品サンプル体験。ラーメンやタルト、パフェなどを制作し、キットやキーホルダーをお土産に持ち帰れます。英語予約可。,大和サンプル公式、Veltra、ByFood,TRUE,工房案内・体験メニューあり。英語予約可（Veltra経由）。家族向け。キット＆キーホルダー付き。,A,本格工房体験。予約必須・混雑予想あり。
Food Sample Making Cafe (Asakusa),食品サンプル製作体験カフェ（浅草）,フードサンプル体験,台東区（浅草）,https://foodsamplecafe.com/en/,—,"Make and eat! Create your own omelette rice, spaghetti, crepe, or parfait sample—and enjoy the real version too. English menu & café setting.",浅草のカフェで食品サンプル製作体験＆本物の食事が楽しめます。英語メニューあり。家族やグループに好評です。,食品サンプル製作体験カフェ公式（英語訳あり）,TRUE,英語サイト、Instagram紹介多数。カフェ併設＆グループOK。観光に便利な場所。,A,食べ比べもできるユニークな体験。雨天OK。
Klook: 1‑Hour Tokyo Class Food Sample Making Workshop,東京食品サンプル作り体験（Klook）,フードサンプル体験,豊島区（北池袋）,https://www.klook.com/activity/103658-1-hour-join-tokyo-class-food-sample-making-workshop/,—,"1‑hour workshop at Yamato with ramen, parfait, tart charm options. Family-friendly, English supported, includes tools.",Klook経由で1時間の食品サンプル体験。ラーメンやタルトチャームなど制作可。道具・キット付き、英語案内あり。家族参加OK。,Klook詳細ページ,TRUE,所要1時間、家族向け、英語対応、選べるメニューあり。価格明示。,A,手軽＆初心者向け。道具すべて込み。混雑に備え予約推奨。