スポット名（英）,スポット名（日本語）,カテゴリ,エリア,URL,画像URL,概要説明（英）,概要説明（日本語）,出典サイト,tag_family_friendly,根拠メモ,評価,コメント
Meiji Shrine,明治神宮,神社／歴史,渋谷区・原宿,https://www.meijijingu.or.jp/en/,—,A serene forested shrine dedicated to Emperor Meiji. A peaceful escape in central Tokyo.,鎮守の森に囲まれた静寂な神社。都会の中で日本文化を感じられる場所。,公式サイト,TRUE,ベビーカーOK、英語パンフあり,A,着物レンタルとの組合せも◎
Senso-ji Temple,浅草寺,寺／歴史,台東区・浅草,https://www.senso-ji.jp/,—,"The oldest temple in Tokyo, with a famous gate and lively shopping street.",東京最古の寺。雷門と仲見世通りで買い物や文化体験ができる観光名所。,公式サイト,TRUE,英語看板多数。人力車・着物体験とセット可能,A,外国人旅行者から常に高評価
Edo-Tokyo Open Air Museum,江戸東京たてもの園,野外博物館,小金井市,https://www.tatemonoen.jp/english/,—,Open-air museum with historical buildings from Edo to Showa periods.,江戸〜昭和の日本家屋が立ち並ぶ体験型屋外施設。広々として家族連れにも最適。,公式サイト,TRUE,英語パンフあり、内部見学OK、季節イベントも実施,A,ジブリ作品のロケ地としても話題
Kanda Myojin Shrine,神田明神,神社／歴史+現代文化,千代田区・秋葉原,https://www.kandamyoujin.or.jp/english/,—,"A shrine known for business blessings and anime collaborations, near Akihabara.",商売繁盛のご利益に加え、アニメとのコラボも話題のユニークな神社。秋葉原至近。,公式サイト,TRUE,英語対応あり、外国人訪問者向け情報も発信中,B,伝統×現代カルチャーが融合した希少な例
Fukagawa Edo Museum,深川江戸資料館,体験型博物館,江東区・門前仲町,https://www.kcf.or.jp/fukagawa/,—,Indoor replica of Edo-period town with multilingual guides. Great for hands-on learning.,江戸時代の町並みを再現した屋内型資料館。多言語対応で江戸文化を体験できる。,公式サイト,TRUE,英語解説あり、子連れレビューで高評価,A,雨の日でもOK、周辺に富岡八幡宮などもあり
Imperial Palace East Garden,皇居外苑・二重橋,城跡／公園,千代田区・大手町,https://www.japan.travel/en/spot/1076/,—,Historical site of Edo Castle with lush gardens and iconic Nijubashi bridge.,江戸城跡に整備された緑あふれる皇居の外苑エリア。二重橋が人気の撮影スポット。,Japan Travel,TRUE,英語ガイドあり、入場無料、散歩コースとして◎,A,都心にいながら歴史と自然を感じられる
Nezu Shrine,根津神社,神社／伝統,文京区,https://www.nedujinja.or.jp/,—,Historic shrine famous for azalea festival and torii gate tunnel.,つつじ祭りや千本鳥居で有名な、落ち着いた雰囲気の古社。,根津神社公式,TRUE,最低限の英語対応だがレビュー高評価、写真映え良し,B,観光客が少なく「裏東京」を楽しめる
Yasukuni Shrine,靖国神社,神社／近代史,千代田区・九段下,https://www.yasukuni.or.jp/english/,—,"Shinto shrine commemorating Japan's war dead, with a museum on modern history.",近代史に関わる戦没者を祀る神社。併設の遊就館では歴史展示も。,靖国神社公式,TRUE,英語音声ガイドあり、訪問意義への関心高い外国人多,B,敏感なテーマ含むが学習的価値が高い
Zojo-ji Temple,増上寺,寺／歴史,港区・芝公園,https://www.zojoji.or.jp/en/,—,"Temple with Tokugawa connections, located next to Tokyo Tower.",徳川家の菩提寺。東京タワーとの並びが印象的な観光スポット。,増上寺公式,TRUE,英語対応あり、東京タワーとセット観光しやすい,A,写真映え＆歴史学習、両方楽しめる
Yanaka Neighborhood (Yanesen),谷中銀座・谷根千エリア,下町／昭和風景,台東区〜文京区,https://en.japantravel.com/tokyo/yanesen-a-tokyo-time-capsule/40875,—,"Retro neighborhood full of cats, traditional sweets, and Showa-era charm.",昭和の雰囲気と猫と和菓子が楽しめる、懐かしい街歩きエリア。,Japan Travel,TRUE,外国人向けブログ多数、観光地化しすぎていない点が好まれる,A,スローな東京を感じたい人におすすめ
Kawagoe (Little Edo),小江戸川越,江戸情緒／街並み,埼玉県川越市,https://www.kawagoe.or.jp/foreign/english/,—,"Historical merchant town with traditional streets, warehouses, and candy alley.",江戸時代の商人町の風情が残る街並み。蔵造りの建物や菓子屋横丁が有名。,川越観光協会公式,TRUE,英語観光案内所あり、電車で都心から約1時間,A,着物での町歩きも人気。日帰り観光にぴったり
Edo-Tokyo Museum,江戸東京博物館,博物館／歴史,墨田区,https://www.edo-tokyo-museum.or.jp/en/,—,"Museum presenting the lifestyle, architecture, and culture of Edo and Tokyo through large-scale models and exhibits.",江戸から現代までの東京の暮らし・建築・文化を大型模型や実物展示で体感できる博物館。,公式サイト,TRUE,英語案内・オーディオガイドあり、子ども連れレビューも高評価,A,2025年春にリニューアル再開予定。雨の日にもおすすめです。
Ōta Memorial Museum of Art,太田記念美術館,浮世絵美術館,渋谷区・原宿,https://www.ukiyoe-ota-muse.jp/english/,—,"A renowned museum dedicated to Ukiyo-e woodblock prints, with rotating exhibitions. Located near Harajuku.",原宿駅徒歩5分。浮世絵専門の展示を行う美術館で、月替わりの企画展が魅力。,公式サイト,TRUE,英語Webあり、展示キャプションの英訳あり、一部展示は子どもも楽しめる,A,建物がコンパクトなので滞在時間は短め。雨の日アート鑑賞に◎